article,qty,price,brand,cat2,cat3,name,cat4,Function,title2,value2,title3,value3,title4,value4,title5,value5,dimensions,descrizione_materiale,cd_stato_materiale,article_code
E03902X,1,6640,NATUZZI,SIDEBOARDS,,Create,,SIDEBOARD,Frame,,Frame finishing,Walnut/Olive Green,Top,WOOD,Top finishing,WALNUT,45X160 H78,CREATE MADIA L160H78 NOCE2017 VERDEOLIV,YS,DDE03900000002X
E02718X,1,6390,NATUZZI,SIDEBOARDS,,Filrouge,,SIDEBOARD,Frame,WOOD AND METAL,Frame finishing,Ash Gray Oak /Black Rose,Top,MARBLE,Top finishing,Volakas,50X180 H61,FIL ROUGE MADIA L180 ROVcenere/VOLAKAS,YP,DDE02700000018X
T17302X,1,5980,NATUZZI,SIDEBOARDS,,ORFEO,,SIDEBOARD,Frame,,Frame finishing,Matt Anthracite/Black Bruntio/Brass,Top,,Top finishing,,117X50 H140,ORFEO MADIA L117 ANTRACITEOP/NEROBRUN,YP,DDT17300000002X
W02202X,1,6630,NATUZZI,SIDEBOARDS,,ORFEO,,SIDEBOARD,Frame,METAL,Frame finishing,Chocolate/Pink Gold,Top,LACQUERED WOOD,Top finishing,CHOCOLATE,50X117 H140,ORFEO Vetrina L117  Cioccolato,YP,DDW02200000002X
W00703X,1,7710,NATUZZI,SIDEBOARDS,,PHANTOM,,SIDEBOARD,Frame,WOOD,Frame finishing,Smoked Oak Termocotto,Top,LACQUERED WOOD,Top finishing,Light blue,53X200 H73,PHANTOMmadia L200H73 Rov2017/Azzur,YS,DDW00700000003X
T18807X,1,12550,NATUZZI,DINING TABLES,DINING TABLE,Campus,RECTANGULAR,FIXED,Frame,Metal/Wood,Frame finishing,Glossy Champagne/Ash Wood Tobacco,Top,MARBLE,Top finishing,Green Calacatta,120X300 H74,CAMPUS DIN.L300X120H75 CALACATTA VERDE,Y2,DDT18800000007X
T17401X,1,35000,NATUZZI,DINING TABLES,DINING TABLE,Torsion,ROUND,FIXED,Frame,WOOD,Frame finishing,Solid Olive Wood,Top,GLASS,Top finishing,Extra Clear Glass,200X200 H74,TORSION Table Ã¸200 glass/olive+Cera,YS,DDT174T0000001X
G849001XNA,1,2100,NATUZZI,CONSOLE TABLE,,Ika,RECTANGULAR,CONSOLE,Frame,METAL,Frame finishing,ANTHRACITE,Top,WOOD,Top finishing,NATURAL,68X130 H75,IKA Desk130x68H75 GoldBronz Nat.Oak,YS,G849001XNA
G849002XNA,1,1260,NATUZZI,CONSOLE TABLE,,Ika,RECTANGULAR,CajÃ³n,Frame,LACQUERED WOOD,Frame finishing,BEIGE GREY,Top,LACQUERED WOOD,Top finishing,,50X37 H58,IKA Drawer 37x50H58 Laq.GreyBeige,YP,G849002XNA
G875002XNA,1,3020,NATUZZI,CONSOLE TABLE,,Inu,RECTANGULAR,EXTENSIBLE CONSOLE,Frame,WOOD AND METAL,Frame finishing,Black ash Wood,Top,Fenix,Top finishing,BLACK,180X98 H72,INU Ext.Desk180X98-108H72 FenixBl.Ash,YS,G875002XNA
E021MTV,1,4850,NATUZZI,CONSOLE TABLE,,KENDO,RECTANGULAR,CONSOLE,Frame,METAL,Frame finishing,BRASS,Top,WOOD,Top finishing,SMOKED OAK,150X45 H62,KENDO CONSOLE 150X45 H62 SMOKED OAK-BRAS,YS,DDE021BMTL6312P
Y01001X,1,2650,NATUZZI,MIRRORS,,ORFEO,,MIRROR,Material,METAL,Finishing,Black Brunito/Brass,,GLASS,,Antique Bronze,103X103 H2.5,ORFEO SPECCHIOD103 SPECANT/NEROBR+OTT,YP,DDM01000000001X
Y01002X,1,2400,NATUZZI,MIRRORS,,ORFEO,,MIRROR,Material,METAL,Finishing,Black Brunito/Brass,,GLASS,,Antique Bronze,78X78 H2.5,ORFEO SPECCHIOD78 SPECANT/NEROBR+OTT,YP,DDM01000000002X
Y01003X,1,3010,NATUZZI,MIRRORS,,ORFEO,,MIRROR,Material,METAL,Finishing,Chocolate/Pink Gold,,Mirror,,FUME' MIRROR,103X103 H2.5,ORFEO SpecchioÃ˜103 Cioccol/SpecchFume,YS,DDM01000000003X
Y01004X,1,2620,NATUZZI,MIRRORS,,ORFEO,,MIRROR,Material,METAL,Finishing,Chocolate/Pink Gold,,Mirror,,FUME' MIRROR,78X78 H2.5,ORFEO SpecchioÃ˜78 Cioccol/SpecchFume,YP,DDM01000000004X
A647X70,1,370,NATUZZI,OPEN ART,,VASUM,,VASE,Material,POLYPROPYLENE,Finishing,COFFEE GLOSSY,,,,,22X22 H55,VASUM COFFEE 22X22 H55 GLOSSY,YS,DDO6470PO002000
A90400W,1,54,NATUZZI,SCENTS,,MELOGRANO,,AIR FRESHNER STICKS 100 ml,Material,,Finishing,,,,,,,MELOGRANO AIR FRESHNER STICKS SMALL,Y6,DDO904000100000
A90800W,1,54,NATUZZI,SCENTS,,SPEZIE-AGRUMI,,AIR FRESHNER STICKS 100 ml,Material,,Finishing,,,,,,,SPEZIE-AGRUMI AIR FRESHNER STICKS SMALL,Y6,DDO908000100000
A90900W,1,54,NATUZZI,SCENTS,,TE BIANCO,,AIR FRESHNER STICKS 100 ml,Material,,Finishing,,,,,,,TE BIANCO AIR FRESHNER STICKS SMALL,Y6,DDO909000100000
A869T7V,1,290,NATUZZI,TEXTILES,,FANTE,,PLAID,Material,CASHMERE,Finishing,BROWN,,MERINOS,,,130X180,FANTE PLAID 130X180 BROWN,YS,DDO869RTX00200V
A882T60,1,290,NATUZZI,TEXTILES,,NEBULA,,PLAID,Material,MOHAIR,Finishing,GREY,,WOOL,,,135X180,NEBULA PLAID 135X180 GREY SPRAY,YS,DDO882RTX011000
A882T90,1,290,NATUZZI,TEXTILES,,NEBULA,,PLAID,Material,MOHAIR,Finishing,BLUE,,WOOL,,,135X180,NEBULA PLAID 135X180 BLUE SPRAY,YS,DDO882RTX060000
A882TG0,1,290,NATUZZI,TEXTILES,,NEBULA,,PLAID,Material,MOHAIR,Finishing,GREEN,,WOOL,,,135X180,NEBULA PLAID 135X180 GREEN SPRAY,YS,DDO882RTX059000
A875X6X,1,210,NATUZZI,TEXTILES,,ROYAL,,PILLOW,Material,POLYESTER,Finishing,GREY,,COTTON,,,50X80,ROYAL BED LINEN 2 CUSCIONS 50X80 GREY,YS,DDO8750PLT1111V
A14601X,1,410,NATUZZI,TEXTILES,,Shade,,PLAID,Material,WOOL,Finishing,BEIGE,,,,,140X180,SHADE PLAID 180X140 BEIGE,YS,DDO14600000001X
A14603X,1,410,NATUZZI,TEXTILES,,Shade,,PLAID,Material,WOOL,Finishing,Bordeaux/Verde,,,,,140X180,SHADE PLAID 180X140 Bordeaux/Verde,YS,DDO14600000003X
A833T00,1,440,NATUZZI,TEXTILES,,SIRIO,,TOP  SHEET + TWO PILLOWCASES,Material,LINEN,Finishing,NATURAL,,,,,275X295,SIRIO TOP  SHEET +2 PILL.CASES NATURAL,YS,DDO8330TX000000
A833T0X,1,620,NATUZZI,TEXTILES,,SIRIO,,DUVET COVER + TWO PILLOWCASES,Material,LINEN,Finishing,NATURAL,,,,WHITE,250X230,SIRIO DUVET COVER +2PILL.CASES NAT-WHITE,Y3,DDO8330TX000520
A14701X,1,420,NATUZZI,TEXTILES,,Trulli,,PLAID,Material,WOOL,Finishing,BEIGE,,,,IVORY,140X180,TRULLI PLAID 180X140 BEIGE AVORIO,Y7,DDO14700000001X
A14702X,1,49,NATUZZI,TEXTILES,,Trulli,,PILLOW,Material,POLYESTER,Finishing,DARK BROWN,,,,,50X50,TRULLI CUSCINO 50X50 MARRONE TERRACOT,Y7,DDO14700000002X
A14501X,1,177,NATUZZI,TEXTILES,,Wool Plaid,,PLAID,Material,WOOL,Finishing,IVORY,,,,,130X180,WOOL PLAID 180X130 AVORIO,YS,DDO14500000001X
A14502X,1,177,NATUZZI,TEXTILES,,Wool Plaid,,PLAID,Material,WOOL,Finishing,GREY,,,,,130X180,WOOL PLAID 180X130 GRIGIO,YS,DDO14500000002X
A14503X,1,177,NATUZZI,TEXTILES,,Wool Plaid,,PLAID,Material,WOOL,Finishing,LILLAC,,,,,130X180,WOOL PLAID 180X130 GLICINE,YS,DDO14500000003X
A14504X,1,177,NATUZZI,TEXTILES,,Wool Plaid,,PLAID,Material,WOOL,Finishing,TEAL,,,,,130X180,WOOL PLAID 180X130 OTTANIO,YS,DDO14500000004X
A14505X,1,177,NATUZZI,TEXTILES,,Wool Plaid,,PLAID,Material,WOOL,Finishing,LIME GREEN,,,,,130X180,WOOL PLAID 180X130 VERDE LIME,YS,DDO14500000005X
A11413X,1,216,NATUZZI,TEXTILES,Bed Linens Collection,Coast,,2 SQUARED PILLOW COVERS,Material,COTTON,Finishing,WHITE NATURAL,,,,COPPER,60X60,COAST 2 Fed 60x60 Bianco/Rame,YS,DDO11400000013X
A11418X,1,216,NATUZZI,TEXTILES,Bed Linens Collection,Coast,,2 SQUARED PILLOW COVERS,Material,COTTON,Finishing,WHITE NATURAL,,,,SILVER,60X60,COAST 2 Fed 60x60 Bianco/Argento,YS,DDO11400000018X
A11423X,1,216,NATUZZI,TEXTILES,Bed Linens Collection,Coast,,2 SQUARED PILLOW COVERS,Material,COTTON,Finishing,WHITE NATURAL,,,,GOLD,60X60,COAST 2 Fed 60x60 Bianco/Oro,YS,DDO11400000023X
A11432X,1,300,NATUZZI,TEXTILES,Bed Linens Collection,Coast,,2 SQUARED PILLOW COVERS,Material,LINEN,Finishing,WHITE NATURAL,,,,COPPER,60X60,COAST Lino 2 Fed 60x60 Bianco/Rame,YP,DDO11400000032X
A11441X,1,300,NATUZZI,TEXTILES,Bed Linens Collection,Coast,,2 SQUARED PILLOW COVERS,Material,LINEN,Finishing,WHITE NATURAL,,,,SILVER,60X60,COAST Lino 2 Fed 60x60 Bianco/Arg,YP,DDO11400000041X
A11450X,1,300,NATUZZI,TEXTILES,Bed Linens Collection,Coast,,2 SQUARED PILLOW COVERS,Material,LINEN,Finishing,WHITE NATURAL,,,,GOLD,60X60,COAST Lino 2 Fed 60x60 Bianco/Oro,YP,DDO11400000050X
A24018X,1,250,NATUZZI,TEXTILES,Bed Linens Collection,Frame,,2 SQUARED PILLOW COVERS,Material,COTTON,Finishing,WHITE NATURAL,,COTTON,,SAND,60X60,FRAME 2 Fed 60x60 Bianco/Marr,YS,DDO24000000018X
A12209X,1,600,NATUZZI,TEXTILES,Bed Linens Collection,Journey,,Duvet Cover-Sheet +2 Pillocases,Material,COTTON,Finishing,BLUE,,,,,230X275,"JOURNEY Copripiu:Sacco,Lenz+2 Federe BLU",YS,DDO12200000009X
A12219X,1,290,NATUZZI,TEXTILES,Bed Linens Collection,Journey,,2 SQUARED PILLOW COVERS,Material,COTTON,Finishing,WHITE NATURAL,,,,CAMEL,60X60,JOURNEY 2 Fed 60x60 Bian/Camel,YP,DDO12200000019X
A12228X,1,390,NATUZZI,TEXTILES,Bed Linens Collection,Journey,,2 SQUARED PILLOW COVERS,Material,LINEN,Finishing,WHITE NATURAL,,,,CAMEL,60X60,JOURNEYlino 2 Fed 60x60 Bian/Camel,YP,DDO12200000028X
A12237X,1,390,NATUZZI,TEXTILES,Bed Linens Collection,Journey,,2 SQUARED PILLOW COVERS,Material,LINEN,Finishing,WHITE NATURAL,,,,BLUE,60X60,JOURNEYlino 2 Fed 60x60 Bianco/Blu,YP,DDO12200000037X
A12246X,1,390,NATUZZI,TEXTILES,Bed Linens Collection,Journey,,2 SQUARED PILLOW COVERS,Material,LINEN,Finishing,WHITE NATURAL,,,,Cotto,60X60,JOURNEYlino 2Fed 60x60 Bianc/Cotto,YP,DDO12200000046X
A12251X,1,290,NATUZZI,TEXTILES,Bed Linens Collection,Journey,,2 SQUARED PILLOW COVERS,Material,COTTON,Finishing,WHITE NATURAL,,,,BLUE,60X60,JOURNEY 2 Fed 60x60 Bian/Blu,YP,DDO12200000051X
A12256X,1,290,NATUZZI,TEXTILES,Bed Linens Collection,Journey,,2 SQUARED PILLOW COVERS,Material,COTTON,Finishing,WHITE NATURAL,,,,Cotto,60X60,JOURNEY 2 Fed 60x60 Bian/Cotto,YP,DDO12200000056X
A23917X,1,150,NATUZZI,TEXTILES,Bed Linens Collection,Pinstripe,,2 SQUARED PILLOW COVERS,Material,COTTON,Finishing,WHITE NATURAL,,COTTON,,GREY,60X60,PINSTRIPE 2 Fed 60x60 Bianco/Grig,YS,DDO23900000017X
A23918X,1,150,NATUZZI,TEXTILES,Bed Linens Collection,Pinstripe,,2 SQUARED PILLOW COVERS,Material,COTTON,Finishing,WHITE NATURAL,,COTTON,,BROWN,60X60,PINSTRIPE 2 Fed 60x60 Bianco/Marr,YS,DDO23900000018X
A13319X,1,260,NATUZZI,TEXTILES,Bed Linens Collection,River,,2 SQUARED PILLOW COVERS,Material,LINEN,Finishing,WHITE NATURAL,,,,Oats,60X60,RIVER Lino 2 Fed 60x60 Bian/Aven,YP,DDO13300000019X
A13328X,1,260,NATUZZI,TEXTILES,Bed Linens Collection,River,,2 SQUARED PILLOW COVERS,Material,LINEN,Finishing,WHITE NATURAL,,,,GREEN,60X60,RIVER Lino 2 Fed 60x60 Bian/Verde,YP,DDO13300000028X
A11601X,1,89,NATUZZI,TEXTILES,Table Linens Collection,Convito,,Placemat +1 Napkin,Material,LINEN,Finishing,WHITE,,,,GOLD,,CONVITO TOVAGLT+1TOV BIANCO ORO,YS,DDO11600000001X
A889M60,1,22,NATUZZI,TABLEWARE,,CIBO',,Fork,Material,METAL,Finishing,STEEL,,,,,,CIBO' SET 4 STEEL CUTLERY,YS,DDO8890MT0NI000
A884V00,1,108,NATUZZI,TABLEWARE,,HYDRIA,,Pitcher,Material,GLASS,Finishing,TRANSPARENT,,,,,10 H20,HYDRIA JUG D10 H20 TRASPARENT,YS,DDO884TVT000000
A878TWV,1,76,NATUZZI,TABLEWARE,,SIMPOSIO,,TABLE WARE,Material,LINEN,Finishing,WHITE/BLUE,,,,,,SIMPOSIO TABLE WARE(CLOTH+NAPK)WHI-BLUE,YS,DDO8780TX05260V
F006001,1,3450,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,ATLAS,,MATTRESSES,,Natural Rubber & Fibers (6 Layers),,,,COTTON,,IVORY,200X193 H18,ATLAS MATTRESS GOM.200X193H18 IVORY,Y2,DDB00600000001X
F006005,1,3450,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,ATLAS,,MATTRESSES,,Natural Rubber & Fibers (6 Layers),,,,COTTON,,IVORY,200X180 H18,ATLAS MATTRESS GOM.200X180H18 IVORY,Y2,DDB00600000005X
F006009,1,2910,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,ATLAS,,MATTRESSES,,Natural Rubber & Fibers (6 Layers),,,,COTTON,,IVORY,200X160 H18,ATLAS MATTRESS GOM.200X160H18 IVORY,Y2,DDB00600000009X
F006013,1,2910,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,ATLAS,,MATTRESSES,,Natural Rubber & Fibers (6 Layers),,,,COTTON,,IVORY,200X152 H18,ATLAS MATTRESS GOM.200X152H18 IVORY,Y2,DDB00600000013X
F008001,1,1830,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,IVISKOS,,Top-Mattresses,,Natural Rubber,,,,COTTON,,IVORY,200X193 H6,IVISKOS MATTRESS GOM.200X193H6 AVO,Y2,DDB00800000001X
F008005,1,1830,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,IVISKOS,,Top-Mattresses,,Natural Rubber,,,,COTTON,,IVORY,200X180 H6,IVISKOS MATTRESS GOM.200X180H6 AVO,Y2,DDB00800000005X
F008009,1,1500,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,IVISKOS,,Top-Mattresses,,Natural Rubber,,,,COTTON,,IVORY,200X160 H6,IVISKOS MATTRESS GOM.200X160H6 AVO,Y2,DDB00800000009X
F008013,1,1500,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,IVISKOS,,Top-Mattresses,,Natural Rubber,,,,COTTON,,IVORY,200X152 H6,IVISKOS MATTRESS GOM.200X152H6 AVO,Y2,DDB00800000013X
F012001,1,54,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,NARKISSOS-1,,SLEEPING PILLOW,,Flakes Of Natural Rubber Foam,,,,,,NATURAL,50X70,NARKISSOS-1 PILLOW FIO.GO.NA.50X70,Y2,DDB01200000001X
F007001,1,4850,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,PROTEAS,,MATTRESSES,,Natural Rubber & Fibers (6 Layers),,,,COTTON,,IVORY,200X193 H25,PROTEAS MATTRESS GOM.200X193H25 AVO,Y2,DDB00700000001X
F007005,1,4420,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,PROTEAS,,MATTRESSES,,Natural Rubber & Fibers (6 Layers),,,,COTTON,,IVORY,200X180 H25,PROTEAS MATTRESS GOM.200X180H25 AVO,Y2,DDB00700000005X
F007009,1,3770,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,PROTEAS,,MATTRESSES,,Natural Rubber & Fibers (6 Layers),,,,COTTON,,IVORY,200X160 H25,PROTEAS MATTRESS GOM.200X160H25 AVO,Y2,DDB00700000009X
F007013,1,3770,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,PROTEAS,,MATTRESSES,,Natural Rubber & Fibers (6 Layers),,,,COTTON,,IVORY,200X152 H25,PROTEAS MATTRESS GOM.200X152H25 AVO,Y2,DDB00700000013X
F009001,1,86,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,SITHON-1,,SLEEPING PILLOW,,Flakes Of Natural Rubber Foam,,,,,,NATURAL,50X70,SITHON-1 PILLOW FIO.GO.NA.50X70,Y2,DDB00900000001X
F010001,1,130,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,SITHON-3,,SLEEPING PILLOW,,Mix Of Duck Feather & Down,,,,,,NATURAL,50X70,SITHON-3 PILLOW PIUMA OCA 50X70,Y2,DDB01000000001X
F011001,1,150,NATUZZI,MATTRESSES & SLEEPING PILLOWS,,SITHON-5,,SLEEPING PILLOW,,Pure Virgin Wool,,,,,,NATURAL,50X70,SITHON-5 PILLOW LANA VER. 50X70,Y2,DDB01100000001X
A63501X,1,440,NATUZZI,Wall Decor,,Donna con orchidea,,Wall Decor,,,,,,,,,72X72 H6.2,DONNA CON ORCHIDEA Limited Edition,YP,DDO63500000001X
A63801X,1,440,NATUZZI,Wall Decor,,Profilo donna con orchidea,,Wall Decor,,,,,,,,,72X72 H6.2,PROFILO DONNA CON ORCHIDEA Limited Ed.,YS,DDO63800000001X
CH010031400,1,1090,NATUZZI,CHAIRS,,AMBRA,,With arms,Structure,,Frame finishing,,Covering,LEATHER,Covering color,,67X63 H85,AMBRA SEDIA C-BR,Y2,CH010031400
CH01003A000,1,900,NATUZZI,CHAIRS,,AMBRA,,With arms,Structure,,Frame finishing,,Covering,LEATHER,Covering color,,67X63 H85,AMBRA SEDIA C-BR CTA0,Y2,CH01003A000
CH012311400,1,840,NATUZZI,CHAIRS,,AMBRA,,Without arms,Structure,,Frame finishing,,Covering,LEATHER,Covering color,,55X63 H85,AMBRA SEDIA S-BR,Y2,CH012311400
CH01231A000,1,690,NATUZZI,CHAIRS,,AMBRA,,Without arms,Structure,,Frame finishing,,Covering,LEATHER,Covering color,,55X63 H85,AMBRA SEDIA S-BR CTA0,Y2,CH01231A000
CH015011400,2,1650,NATUZZI,CHAIRS,,AMBRA,,2 chairs without  arms,Structure,,Frame finishing,,Covering,LEATHER,Covering color,,55X63 H85,AMBRA COP. S-BR,Y2,CH015011400
CH01501A000,2,1340,NATUZZI,CHAIRS,,AMBRA,,2 chairs without  arms,Structure,,Frame finishing,,Covering,LEATHER,Covering color,,55X63 H85,AMBRA COP. S-BR CTA0,Y2,CH01501A000
CH240032400,1,1840,NATUZZI,CHAIRS,,BEAT,,With arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,65X64 H88,SEDIA BEAT C-BR PELLE,Y2,CH240032400
CH240033000,1,1960,NATUZZI,CHAIRS,,BEAT,,With arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,65X64 H88,SEDIA BEAT C-BR PELLE,Y2,CH240033000
CH240036000,1,2840,NATUZZI,CHAIRS,,BEAT,,With arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,65X64 H88,SEDIA BEAT C-BR PELLE,Y2,CH240036000
CH240038300,1,1450,NATUZZI,CHAIRS,,BEAT,,With arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,65X64 H88,SEDIA BEAT C-BR TESSUTO,Y2,CH240038300
CH240039900,1,1650,NATUZZI,CHAIRS,,BEAT,,With arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,65X64 H88,SEDIA BEAT C-BR TESSUTO,Y2,CH240039900
CH24003A000,1,1630,NATUZZI,CHAIRS,,BEAT,,With arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,,SEDIA BEAT C-BR PELLE CTA0,Y2,CH24003A000
CH155391400,1,1360,NATUZZI,CHAIRS,,CLIO,,Without arms,Structure,LEATHER,Frame finishing,,Covering,,Covering color,,173X68 H80,Panca Clio PELLE CAT.15,Y2,CH155391400
CH155394000,1,1800,NATUZZI,CHAIRS,,CLIO,,Without arms,Structure,LEATHER,Frame finishing,,Covering,,Covering color,,173X68 H80,Panca Clio PELLE CAT.40,Y2,CH155394000
CH155397000,1,940,NATUZZI,CHAIRS,,CLIO,,Without arms,Structure,FABRIC,Frame finishing,,Covering,,Covering color,,173X68 H80,Panca Clio TESSUTO CAT.70,Y2,CH155397000
CH155399900,1,1250,NATUZZI,CHAIRS,,CLIO,,Without arms,Structure,FABRIC,Frame finishing,,Covering,,Covering color,,173X68 H80,Panca Clio TESSUTO CAT.99,Y2,CH155399900
CH220031400,1,1330,NATUZZI,CHAIRS,,EDGAR,,With arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,60X62 H89,MODCH22 POLT CAT 15,Y2,CH220031400
CH220032400,1,1400,NATUZZI,CHAIRS,,EDGAR,,With arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,60X62 H89,MODCH22 POLT CAT 24,Y2,CH220032400
CH220033000,1,1450,NATUZZI,CHAIRS,,EDGAR,,With arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,60X62 H89,MODCH22 POLT CAT 30,Y2,CH220033000
CH220037000,1,1170,NATUZZI,CHAIRS,,EDGAR,,With arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,60X62 H89,MODCH22 POLT CAT 70,Y2,CH220037000
CH220038300,1,1230,NATUZZI,CHAIRS,,EDGAR,,With arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,60X62 H89,MODCH22 POLT CAT 83,Y2,CH220038300
CH220039900,1,1330,NATUZZI,CHAIRS,,EDGAR,,With arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,60X62 H89,MODCH22 POLT CAT 99,Y2,CH220039900
CH220039K00,1,1600,NATUZZI,CHAIRS,,EDGAR,,With arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,60X62 H89,MODCH22 POLT CAT 9K,Y2,CH220039K00
CH222311400,1,1110,NATUZZI,CHAIRS,,EDGAR,,Without arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,52X62 H89,MODCH22 SED.POL.S/BR CAT 15,Y2,CH222311400
CH222312400,1,1170,NATUZZI,CHAIRS,,EDGAR,,Without arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,60X62 H89,MODCH22 SED.POL.S/BR CAT 24,Y2,CH222312400
CH222313000,1,1210,NATUZZI,CHAIRS,,EDGAR,,Without arms,Structure,COATED METAL,Frame finishing,Leather,Covering,LEATHER,Covering color,,52X62 H89,MODCH22 SED.POL.S/BR CAT 30,Y2,CH222313000
CH222317000,1,1000,NATUZZI,CHAIRS,,EDGAR,,Without arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,52X62 H89,MODCH22 SED.POL.S/BR CAT 70,Y2,CH222317000
CH222318300,1,1050,NATUZZI,CHAIRS,,EDGAR,,Without arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,52X62 H89,MODCH22 SED.POL.S/BR CAT 83,Y2,CH222318300
CH222319900,1,1130,NATUZZI,CHAIRS,,EDGAR,,Without arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,52X62 H89,MODCH22 SED.POL.S/BR CAT 99,Y2,CH222319900
CH222319K00,1,1360,NATUZZI,CHAIRS,,EDGAR,,Without arms,Structure,COATED METAL,Frame finishing,Fabric,Covering,FABRIC,Covering color,,52X62 H89,MODCH22 SED.POL.S/BR CAT 9K,Y2,CH222319K00
C014K50,1,980,NATUZZI,CHAIRS,,FRIDA,,Without arms,Structure,LEATHER,Frame finishing,BLACK,Covering,LEATHER,Covering color,BLACK,53X57 H88,FRIDA CHAIR 53X57 H88 BLACK,Y2,DDC014SCU0A800P
C014KK0,1,980,NATUZZI,CHAIRS,,FRIDA,,Without arms,Structure,LEATHER,Frame finishing,TAN,Covering,LEATHER,Covering color,TAN,53X57 H88,FRIDA CHAIR 53X57 H88 TAN,Y2,DDC014SCU06400P
C014KM0,1,980,NATUZZI,CHAIRS,,FRIDA,,Without arms,Structure,LEATHER,Frame finishing,COFFEE,Covering,LEATHER,Covering color,COFFEE,53X57 H88,FRIDA CHAIR 53X57 H88 COFFEE,Y2,DDC014SCU02500P
C014KT0,1,980,NATUZZI,CHAIRS,,FRIDA,,Without arms,Structure,LEATHER,Frame finishing,TAUPE,Covering,LEATHER,Covering color,TAUPE,53X57 H88,FRIDA CHAIR 53X57 H88 TAUPE,Y2,DDC014SCU00700P
C014PEV,1,1930,NATUZZI,CHAIRS,,FRIDA,,Without arms,Structure,FULL GRAIN LEATHER,Frame finishing,TAN,Covering,FULL GRAIN LEATHER,Covering color,TAN,53X57 H88,FRIDA CHAIR 53X57 H88 CPF TAN,Y2,DDC014SCUX5400P
C014PMV,1,1930,NATUZZI,CHAIRS,,FRIDA,,Without arms,Structure,FULL GRAIN LEATHER,Frame finishing,DARK BROWN,Covering,FULL GRAIN LEATHER,Covering color,DARK BROWN,53X57 H88,FRIDA CHAIR 53X57 H88 CPF DARK BROWN,Y2,DDC014SCUX2400P
CH082311400,1,820,NATUZZI,CHAIRS,,HEIDI,,Without arms,Structure,LEATHER,Frame finishing,,Covering,,Covering color,,52X54 H85,HEDI CHAIR WITHOUT ARMS,Y2,CH082311400
CH08231A000,1,790,NATUZZI,CHAIRS,,HEIDI,,Without arms,Structure,LEATHER,Frame finishing,,Covering,,Covering color,,52X54 H85,HEDI S-BR NEUTRO CTA0,Y2,CH08231A000
CH100031400,1,1260,NATUZZI,CHAIRS,,MAMA,,With arms,Structure,LEATHER,Frame finishing,,Covering,,Covering color,,71X64 H93,Mama SEDIA PELLE,Y2,CH100031400
CH100034000,1,1630,NATUZZI,CHAIRS,,MAMA,,With arms,Structure,LEATHER,Frame finishing,,Covering,,Covering color,,71X64 H93,Mama SEDIA PELLE CAT.40,Y2,CH100034000
CH100037000,1,920,NATUZZI,CHAIRS,,MAMA,,With arms,Structure,FABRIC,Frame finishing,,Covering,,Covering color,,71X64 H93,Mama SEDIA TESSUTO CAT.70,Y2,CH100037000
CH100038800,1,1110,NATUZZI,CHAIRS,,MAMA,,With arms,Structure,FABRIC,Frame finishing,,Covering,,Covering color,,71X64 H93,MAMA SEDIA TESSUTO CAT.88,Y2,CH100038800
