Codice1;Codice2;Colore;Collezione;Materiale
25FB;25FB;FC_RED;MONTECARLO;PELLE
25FB;25FB;ROSSO BRILLANTE;MONTECARLO;PELLE
25FC;25FC;FC_BROWN;MONTECARLO;PELLE
25FC;25FC;MARRONE VIOLACEO;MONTECARLO;PELLE
25FD;25FD;BORDEAUX;MONTECARLO;PELLE
25FD;25FD;FC_BURGUNDY;MONTECARLO;PELLE
25FE;25FE;FC_GREEN;MONTECARLO;PELLE
25FE;25FE;VERDE SCURO;MONTECARLO;PELLE
25FF;25FF;FC_YELLOW;MONTECARLO;PELLE
25FF;25FF;GIALLO;MONTECARLO;PELLE
25FG;25FG;FC_TAUPE;MONTECARLO;PELLE
25FG;25FG;TORTORA CHIARO;MONTECARLO;PELLE
25FH;25FH;FC_BLACK;MONTECARLO;PELLE
25FH;25FH;NERO;MONTECARLO;PELLE
25FI;25FI;FC_TAUPE;MONTECARLO;PELLE
25FI;25FI;TORTORA 2;MONTECARLO;PELLE
25FL;25FL;CUOIO 3;MONTECARLO;PELLE
25FL;25FL;FC_TAN;MONTECARLO;PELLE
25FM;25FM;FC_TAUPE;MONTECARLO;PELLE
25FM;25FM;FUNGO;MONTECARLO;PELLE
25FN;25FN;FC_BROWN;MONTECARLO;PELLE
25FN;25FN;MARRONE TERRA;MONTECARLO;PELLE
25FP;25FP;BIANCO;MONTECARLO;PELLE
25FP;25FP;FC_WHITE;MONTECARLO;PELLE
25FQ;25FQ;CUOIO CHIARO;MONTECARLO;PELLE
25FQ;25FQ;FC_TAN;MONTECARLO;PELLE
25FR;25FR;FC_ORANGE;MONTECARLO;PELLE
25FR;25FR;RUGGINE;MONTECARLO;PELLE
25FS;25FS;FC_YELLOW;MONTECARLO;PELLE
25FS;25FS;ZAFFERANO;MONTECARLO;PELLE
25FT;25FT;FC_BROWN;MONTECARLO;PELLE
25FT;25FT;NOCE;MONTECARLO;PELLE
25FU;25FU;MARRONE VERDE;MONTECARLO;PELLE
25FV;25FV;MARRONE BRONZO;MONTECARLO;PELLE
25GB;25GB;BORDEAUX;DAKKAR;PELLE
25GC;25GC;MARRONE SCURO;DAKKAR;PELLE
25HA;25HA;TORTORA;VINTAGE;PELLE
25IA;25IA;FC_TAUPE;GIANO;PELLE
25IA;25IA;TORTORA GREY;GIANO;PELLE
25IB;25IB;CUOIO3;GIANO;PELLE
25IB;25IB;FC_TAN;GIANO;PELLE
25IC;25IC;PALISSANDRO;GIANO;PELLE
25ID;25ID;BLU;GIANO;PELLE
25IE;25IE;FC_BLACK;GIANO;PELLE
25IE;25IE;NERO 1;GIANO;PELLE
25IF;25IF;FC_TAUPE;GIANO;PELLE
25IF;25IF;TORTORA CHIARO;GIANO;PELLE
25IG;25IG;FC_YELLOW;GIANO;PELLE
25IG;25IG;GIALLO;GIANO;PELLE
25IH;25IH;ARANCIO;GIANO;PELLE
25IH;25IH;FC_ORANGE;GIANO;PELLE
25II;25II;FC_RED;GIANO;PELLE
25II;25II;ROSSO BRILLANTE;GIANO;PELLE
25IL;25IL;BIANCO;GIANO;PELLE
25IL;25IL;FC_WHITE;GIANO;PELLE
25IM;25IM;FC_BROWN;GIANO;PELLE
25IM;25IM;NOCE;GIANO;PELLE
25IN;25IN;BORDEAUX;GIANO;PELLE
25IN;25IN;FC_BURGUNDY;GIANO;PELLE
25IP;25IP;FC_TAUPE;GIANO;PELLE
25IP;25IP;FUNGO;GIANO;PELLE
25IR;25IR;FC_TAUPE;GIANO;PELLE
25IR;25IR;TORTORA 2;GIANO;PELLE
25IS;25IS;CUOIO 3;GIANO;PELLE
25IS;25IS;FC_TAN;GIANO;PELLE
25IT;25IT;FC_BLACK;GIANO;PELLE
25IT;25IT;NERO;GIANO;PELLE
25JA;25JA;MIELE DORATO;WELLINGTON;PELLE
25JB;25JB;TORTORA;WELLINGTON;PELLE
25JC;25JC;TABACCO;WELLINGTON;PELLE
25JE;25JE;ECRÙ;WELLINGTON;PELLE
25KA;25KA;FC_BROWN;TRESA;PELLE
25KA;25KA;MARRONE;TRESA;PELLE
25KB;25KB;NERO;TRESA;PELLE
25KC;25KC;ROSSO CILIEGIA;TRESA;PELLE
25KD;25KD;MARRONE CHIARO;TRESA;PELLE
25LA;25LA;NERO;SIRIO;PELLE
25LB;25LB;GRIGIO;SIRIO;PELLE
25LC;25LC;TORTORA CHIARO;SIRIO;PELLE
25MA;25MA;AMARANTO;ROYAL;PELLE
25MB;25MB;TESTA DI MORO;ROYAL;PELLE
25MC;25MC;NERO;ROYAL;PELLE
25NA;25NA;BRANDY;SANTA FE;PELLE
25NB;25NB;MARRONE;SANTA FE;PELLE
25NC;25NC;COLA;SANTA FE;PELLE
25ND;25ND;CREMA;SANTA FE;PELLE
25NE;25NE;AVORIO;SANTA FE;PELLE
25PA;25PA;CUOIO;STROMBOLI;PELLE
25PB;25PB;MUSCHIO;STROMBOLI;PELLE
25PC;25PC;MARRONE SCURO;STROMBOLI;PELLE
25PD;25PD;ANTRACITE;STROMBOLI;PELLE
25PE;25PE;TORTORA;STROMBOLI;PELLE
25QA;25QA;MARRONE CHIARO;ROCHESTER;PELLE
25QB;25QB;NOCE;ROCHESTER;PELLE
25QC;25QC;ROSSO;ROCHESTER;PELLE
25QD;25QD;GRIGIO ANTRACITE;ROCHESTER;PELLE
25QE;25QE;MANDORLA;ROCHESTER;PELLE
25QF;25QF;BRANDY;ROCHESTER;PELLE
25RA;25RA;FANGO;LOREN;PELLE
25RB;25RB;ROSSO MATTONE;LOREN;PELLE
25RC;25RC;NOCCIOLA;LOREN;PELLE
25RD;25RD;GRIGIO TORTORA;LOREN;PELLE
25RE;25RE;MARRONE SCURO;LOREN;PELLE
25RF;25RF;BEIGE;LOREN;PELLE
25RG;25RG;LAVAGNA;LOREN;PELLE
25RH;25RH;BLU DI PRUSSIA;LOREN;PELLE
25SA;25SA;NERO;MADISON AVENUE;PELLE
25SB;25SB;MARRONE SC. CALDO;MADISON AVENUE;PELLE
25SC;25SC;GRIGIO ACCIAIO;MADISON AVENUE;PELLE
25SD;25SD;MARRONE BRUCIATO;MADISON AVENUE;PELLE
25SE;25SE;MARRONE SC. FREDDO;MADISON AVENUE;PELLE
25SG;25SG;BLU SCURO;MADISON AVENUE;PELLE
25SI;25SI;CUOIO CHIARO;MADISON AVENUE;PELLE
25TA;25TA;MARR.MX RAME;CASHMERE;PELLE
25TB;25TB;MARR.SC.CALDO;CASHMERE;PELLE
25TC;25TC;GREIGE C.MX.GRIGIA;CASHMERE;PELLE
25TD;25TD;GRE.SC.MX VERDE;CASHMERE;PELLE
25TE;25TE;VERDE BOSCO;CASHMERE;PELLE
25TF;25TF;BLU SCURO;CASHMERE;PELLE
25TG;25TG;NERO CARBONE;CASHMERE;PELLE
25TH;25TH;BLU OTTANIO;LEISURE;PELLE
25TI;25TI;CELESTE MX GRIGIA;LEISURE;PELLE
25TL;25TL;VERDE CH.MX.CELES.;LEISURE;PELLE
25UA;25UA;GRIGIO MEDIO IK;GRANN FOC;PELLE
25UB;25UB;GRE.CH.MX BRO.IK;GRANN FOC;PELLE
25UC;25UC;CUO.CH.MX ARA.IK;GRANN FOC;PELLE
25UD;25UD;NERO IK;GRANN FOC;PELLE
25UE;25UE;BIANCO LATTE IK;GRANN FOC;PELLE
25VA;25VA;CUOIO CH.MX CAMMEL;LEISURE;PELLE
25VB;25VB;CUOIO CH.MX GIALLO;LEISURE;PELLE
25VC;25VC;BORDEAUX;LEISURE;PELLE
25VD;25VD;CUOIO S.MX ARANCIO;LEISURE;PELLE
25VE;25VE;CUOIO C.MX ARANCIO;LEISURE;PELLE
25VF;25VF;BLU OTTANIO;LEISURE;PELLE
25VG;25VG;CELESTE MX GRIGIA;LEISURE;PELLE
25VH;25VH;VERDE CH.MX.CELES.;LEISURE;PELLE
25VI;25VI;GREIGE C.MX.GRIGIA;LEISURE;PELLE
25VL;25VL;GREIGE SCU.MX ROSA;LEISURE;PELLE
25VM;25VM;BIANCO OTTICO;LEISURE;PELLE
25WA;25WA;CUOIO CH.MX ARANC.;GIANNINI;PELLE
25WB;25WB;MARR.SCU.FREDDO;GIANNINI;PELLE
25WC;25WC;MARR.SCU.CALDO;GIANNINI;PELLE
25WD;25WD;MARRONE;GIANNINI;PELLE
25YA;25YA;GREIGE CHIARO;SONORA;PELLE
25YB;25YB;BEIGE CH.MX GIALLA;SONORA;PELLE
25YC;25YC;GREIGE S.MX BRONZO;SONORA;PELLE
25YD;25YD;GRIGIO CH. CALDO;SONORA;PELLE
3002;3002;CIOTTOLO COLONIALE;COLONIAL;PELLE
3003;3003;VERDE OLIVA;COLONIAL;PELLE
3004;3004;BORDEAUX;COLONIAL;PELLE
3005;3005;MARRONE SCURO;COLONIAL;PELLE
3006;3006;MARRONE;SHADOW;PELLE
3007;3007;NERO;SHADOW;PELLE
3008;3008;BEIGE CHIARO;SHADOW;PELLE
3009;3009;GIALLO;SHADOW;PELLE
3011;3011;CIOCCOLATO;MILLENNIUM;PELLE
3020;3020;MIELE;WILD;PELLE
3023;3023;NERO;MILLENNIUM;PELLE
3024;3024;GRIGIO;MILLENNIUM;PELLE
3025;3025;BLU;MILLENNIUM;PELLE
3026;3026;MARRONE;MILLENNIUM;PELLE
3027;3027;VERDE;MILLENNIUM;PELLE
3028;3028;MARRONE CHIARO;MILLENNIUM;PELLE
3058;3058;AVORIO;TERRANOVA;PELLE
3061;3061;BLU CHIARO;TERRANOVA;PELLE
3062;3062;SENAPE TERRANOVA;TERRANOVA;PELLE
3063;3063;BEIGE;TERRANOVA;PELLE
3064;3064;TORTORA;TERRANOVA;PELLE
3065;3065;VERDE;TERRANOVA;PELLE
3066;3066;BLU;TERRANOVA;PELLE
3067;3067;MARRONE;TERRANOVA;PELLE
3068;3068;NERO;TERRANOVA;PELLE
3069;3069;BORDEAUX;TERRANOVA;PELLE
3071;3071;MARRONE SCURO;CROCO;PELLE
3074;3074;CUOIO;CROCO;PELLE
30AA;30AA;MARRONE GIALLO;ESSENCE;PELLE
30AB;30AB; BORDEAUX;ESSENCE;PELLE
30AC;30AC;MARRONE CHIARO;ESSENCE;PELLE
30BA;30BA;VERDE SCHURO;TERRANOVA;PELLE
30BB;30BB;GHIACCIO;TERRANOVA;PELLE
30DA;30DA;CUOIO;BRISTOL (OLD);PELLE
30EA;30EA;COGNAC;MERCER;PELLE
30EB;30EB;BORDEAUX;MERCER;PELLE
30EC;30EC;MARRONE SCURO;MERCER;PELLE
30ED;30ED;CUOIO SCURO;MERCER;PELLE
30FA;30FA;MALVA SCURO;MILLENNIUM;PELLE
30GA;30GA;CASTORO;ARMSTRONG;PELLE
30GB;30GB;BORDEAUX;ARMSTRONG;PELLE
30GC;30GC;NERO;ARMSTRONG;PELLE
30GD;30GD;MARRONE;ARMSTRONG;PELLE
30GE;30GE;TORTORA;ARMSTRONG;PELLE
30GF;30GF;BIANCO FREDDO;ARMSTRONG;PELLE
30GG;30GG;GREIGE CH MX RS;ARMSTRONG;PELLE
30GH;30GH;TORTORA CALDO;ARMSTRONG;PELLE
30GI;30GI;CUOIO SC MX CAMM;ARMSTRONG;PELLE
30HA;30HA;CASTORO;NETTI;PELLE
30HB;30HB;BORDEAUX;NETTI;PELLE
30HC;30HC;NERO;NETTI;PELLE
30HD;30HD;MARRONE;NETTI;PELLE
30I1;30I1;GREIGE CHIARO;STROMBOLI;PELLE
30I2;30I2;GRIGIO MEDIO;STROMBOLI;PELLE
30I3;30I3;BEIGE CH.MX GIALLA;STROMBOLI;PELLE
30I4;30I4;VERDE MENTA;STROMBOLI;PELLE
30IA;30IA;MARRONE SCURO;STROMBOLI;PELLE
30IB;30IB;ANTRACITE;STROMBOLI;PELLE
30IC;30IC;TORTORA;STROMBOLI;PELLE
30ID;30ID;POMICE;STROMBOLI;PELLE
30IE;30IE;GRIGIO CHIARO;STROMBOLI;PELLE
30IF;30IF;MALVA;STROMBOLI;PELLE
30IG;30IG;PANNA;STROMBOLI;PELLE
30IH;30IH;CASTAGNA;STROMBOLI;PELLE
30II;30II;GRIG CH FREDDO;STROMBOLI;PELLE
30IL;30IL;GREIGE SC MX VERDE;STROMBOLI;PELLE
30IM;30IM;BLU JEANS;STROMBOLI;PELLE
30IN;30IN;BORDEAUX;STROMBOLI;PELLE
30IP;30IP;BEIGE.SC MX ROSA;STROMBOLI;PELLE
30IQ;30IQ;TORTORA CALDO;STROMBOLI;PELLE
30IR;30IR;BIANCO OTTICO;STROMBOLI;PELLE
30IS;30IS;ARANCIO MX MATTONE;STROMBOLI;PELLE
30IT;30IT;CELESTE MX GRIGIA;STROMBOLI;PELLE
30IU;30IU;BORDEAUX;STROMBOLI;PELLE
30IV;30IV;BEIGE CH. MX ROSA;STROMBOLI;PELLE
30IW;30IW;CUOIO CH.MX CAMM.;STROMBOLI;PELLE
30IX;30IX;ROSSO MX MATTONE;STROMBOLI;PELLE
30IY;30IY;MARR.SCU.CALDO;STROMBOLI;PELLE
30IZ;30IZ;VERDE MUSCHIO;STROMBOLI;PELLE
30JA;30JA;MARRONE CHIARO;CAMPBELL;PELLE
30JB;30JB;NOCE;CAMPBELL;PELLE
30JC;30JC;ROSSO;CAMPBELL;PELLE
30JD;30JD;BRANDY;CAMPBELL;PELLE
30JE;30JE;MARR.SC.CALDO;CAMPBELL;PELLE
30KA;30KA;MARRONE SCU.FREDDO;GARGANO;PELLE
30KB;30KB;MARRONE SCU.CALDO;GARGANO;PELLE
30KC;30KC;VERDE MUSCHIO;GARGANO;PELLE
30KD;30KD;ROSSO MX MATTONE;GARGANO;PELLE
30KE;30KE;BLUE JEANS;GARGANO;PELLE
30KF;30KF;GREIGE CH.MX GRIG.;GARGANO;PELLE
30KG;30KG;GREIGE SC.MX VERDE;GARGANO;PELLE
30KI;30KI;GRIGIO CH. FREDDO;GARGANO;PELLE
30MA;30MA;GREIGE CHIARO;MISTERBIANCO;PELLE
30MB;30MB;BLU SCURO;MISTERBIANCO;PELLE
30MC;30MC;GRIGIO CH.CALDO;MISTERBIANCO;PELLE
30MD;30MD;BIANCO CALDO;MISTERBIANCO;PELLE
30MMC;30MMC;FC_BLUE;MISTERBIANCO;PELLE
30NA;30NA;GRIGIO MEDIO;MARSILI;PELLE
30NB;30NB;BLUE JEANS;MARSILI;PELLE
30NC;30NC;MUSK GREEN;MARSILI;PELLE
30ND;30ND;ROSY LIGHT BEIGE;MARSILI;PELLE
3551;3551;GHIACCIO;GLAMOUR;PELLE
3553;3553;TESTA DI MORO;GLAMOUR;PELLE
3554;3554;ANTRACITE;GLAMOUR;PELLE
3555;3555;WHITE;GLAMOUR;PELLE
3556;3556;AVORIO;GLAMOUR;PELLE
3557;3557;BEIGE-1;GLAMOUR;PELLE
3558;3558;BEIGE;GLAMOUR;PELLE
35AB;35AB;BEIGE;SYRIUS;PELLE
35AC;35AC;MARRONE;SYRIUS;PELLE
35BA;35BA;BIANCO;AURORA;PELLE
35BB;35BB;ZAFFERANO;AURORA;PELLE
35BC;35BC;VINACCIA;AURORA;PELLE
35BD;35BD;CORALLO;AURORA;PELLE
35BE;35BE;MARRONE;AURORA;PELLE
35BF;35BF;NERO;AURORA;PELLE
35BG;35BG;GRIGIO BLU;AURORA;PELLE
35BH;35BH;MEDIO BLU;AURORA;PELLE
35BI;35BI;GIALLO CHIARO;AURORA;PELLE
35BL;35BL;BEIGE;AURORA;PELLE
35BM;35BM;ALBICOCCA;AURORA;PELLE
35BN;35BN;TORTORA CHIARO;AURORA;PELLE
35CA;35CA;MARRONE GIALLO;SHELBY;PELLE
35CB;35CB;MARRONE;SHELBY;PELLE
35CC;35CC;GRIGIO BLU;SHELBY;PELLE
35DA;35DA;TORTORA;NUBUK;PELLE
35DB;35DB;AMBRA;NUBUK;PELLE
35DC;35DC;MARRONE VIOLACEO;NUBUK;PELLE
35DD;35DD;MARRONE SCURO;NUBUK;PELLE
35FA;35FA;CAFFÈLATTE;RIDOLFI;PELLE
35FB;35FB;BEIGE;RIDOLFI;PELLE
35FC;35FC;COGNAC;RIDOLFI;PELLE
35GA;35GA;BIANCO;GONZAGA;PELLE
35GC;35GC;CORALLO;GONZAGA;PELLE
35GD;35GD;MARRONE;GONZAGA;PELLE
35GF;35GF;GIALLO CHIARO;GONZAGA;PELLE
35GG;35GG;BEIGE;GONZAGA;PELLE
35GH;35GH;ALBICOCCA;GONZAGA;PELLE
35HA;35HA;NERO;VESUVIO;PELLE
35HB;35HB;TESTA DI MORO;VESUVIO;PELLE
35HC;35HC;CONCHIGLIA;VESUVIO;PELLE
35HD;35HD;BIANCO OSTRICA;VESUVIO;PELLE
35KA;35KA;CASTAGNA;DAVINCI;PELLE
35KB;35KB;GIALLO;DAVINCI;PELLE
35KC;35KC;OTTANIO;DAVINCI;PELLE
35KD;35KD;BLU SCURO;DAVINCI;PELLE
35KE;35KE;BEIGE;DAVINCI;PELLE
35KF;35KF;GRIGIO CALDO;DAVINCI;PELLE
35KG;35KG;TORTORA;DAVINCI;PELLE
35KI;35KI;MARRONE;DAVINCI;PELLE
4009;4009;GIALLO;RAFFAELLO;PELLE
4011;4011;ROSSO;RAFFAELLO;PELLE
4021;4021;BORDEAUX;CONNOISSEUR;PELLE
4022;4022;MARRONE;CONNOISSEUR;PELLE
4025;4025;NERO;RAFFAELLO;PELLE
4026;4026;NERO;EXCLUSIVE;PELLE
4027;4027;GIALLO;EXCLUSIVE;PELLE
4028;4028;GHIACCIO;EXCLUSIVE;PELLE
4061;4061;BEIGE;HAMILTON;PELLE
40AA;40AA;ROSSO1;EXCLUSIVE;PELLE
40AB;40AB;BLU;EXCLUSIVE;PELLE
40AC;40AC;BIANCO;EXCLUSIVE;PELLE
40AD;40AD;BIANCO SPORCO;EXCLUSIVE;PELLE
40AE;40AE;BEIGE SCURO;EXCLUSIVE;PELLE
40AF;40AF;MUSCHIO SCURO;EXCLUSIVE;PELLE
40AG;40AG;ROSSO;EXCLUSIVE;PELLE
40B1;40B1;MIELE;SIENA;PELLE
40B2;40B2;MARR SC FREDDO;SIENA;PELLE
40B3;40B3;GRIGIO MEDIO;SIENA;PELLE
40B4;40B4;VERDE MX BLU;SIENA;PELLE
40B5;40B5;BLU SCURO;SIENA;PELLE
40B6;40B6;GIALLO MX LIME;SIENA;PELLE
40B7;40B7;MARRONE MX RAME;SIENA;PELLE
40B8;40B8;GRIGIO CH.CALDO;SIENA;PELLE
40B9;40B9;GRIGIO SCU.CALDO;SIENA;PELLE
40BA;40BA;CUOIO;SIENA;PELLE
40BB;40BB;TERRACOTTA;SIENA;PELLE
40BC;40BC;MARRONE;SIENA;PELLE
40BD;40BD;CAFFÈ;SIENA;PELLE
40BE;40BE;ANTRACITE;SIENA;PELLE
40BF;40BF;CADETTO;SIENA;PELLE
40BG;40BG;COGNAC;SIENA;PELLE
40BH;40BH;TORTORA-4;SIENA;PELLE
40BI;40BI;ROSSO;SIENA;PELLE
40BJ;40BJ;GRIGIO;SIENA;PELLE
40BK;40BK;BLU PERVINCA;SIENA;PELLE
40BL;40BL;MARRONE FONDENTE;SIENA;PELLE
40BM;40BM;NERO;SIENA;PELLE
40BN;40BN;MANDARINO;SIENA;PELLE
40BP;40BP;VANIGLIA;SIENA;PELLE
40BQ;40BQ;LILLA BRUNITO;SIENA;PELLE
40BR;40BR;TORTORA CALDO;SIENA;PELLE
40BS;40BS;BLU NOTTE;SIENA;PELLE
40BT;40BT;CREMA;SIENA;PELLE
40BU;40BU;CAMMELLO;SIENA;PELLE
40BW;40BW;BLU PRUSSIA;SIENA;PELLE
40BX;40BX;NOCCIOLA;SIENA;PELLE
40BY;40BY;SABBIA;SIENA;PELLE
40BZ;40BZ;TORTORA;SIENA;PELLE
40CA;40CA;MARRONE SUDANESE;BYRON;PELLE
40CB;40CB;MARRONCINO INDIANO;BYRON;PELLE
40CC;40CC;CASTANO;BYRON;PELLE
40CE;40CE;BORDEAUX VIOLACEO;BYRON;PELLE
40CF;40CF;CASTANO1;BYRON;PELLE
40CG;40CG;NERO;BYRON;PELLE
40CH;40CH;NOCE;BYRON;PELLE
40DA;40DA;COGNAC1;LOGAN (OLD CAT.40);PELLE
40DB;40DB;CIOCCOLATO FONDENT;LOGAN (OLD CAT.40);PELLE
40EA;40EA;SABBIA;MARRAKECH;PELLE
40EC;40EC;BLU ARTICO;MARRAKECH;PELLE
40ED;40ED;ROSSO BRILLANTE;MARRAKECH;PELLE
40GA;40GA;TORTORA-4;MANTEGNA;PELLE
40GB;40GB;CREMA;MANTEGNA;PELLE
40GC;40GC;MARRONE FONDENTE;MANTEGNA;PELLE
40GD;40GD;ANTRACITE;MANTEGNA;PELLE
40GE;40GE;NERO;MANTEGNA;PELLE
40GF;40GF;BLU NOTTE;MANTEGNA;PELLE
40GG;40GG;CUOIO;MANTEGNA;PELLE
40GH;40GH;TERRACOTTA;MANTEGNA;PELLE
40GI;40GI;MARRONE;MANTEGNA;PELLE
40GL;40GL;ROSSO;MANTEGNA;PELLE
40GM;40GM;MANDARINO;MANTEGNA;PELLE
40HA;40HA;ARGENTO;SAVOIA;PELLE
40HB;40HB;BRONZO;SAVOIA;PELLE
40IA;40IA;NERO;HOLLIDAY;PELLE
40IB;40IB;BEIGE;HOLLIDAY;PELLE
40IC;40IC;TESTA DI MORO;HOLLIDAY;PELLE
40JA;40JA;CUOIO;MONTELLO;PELLE
40JB;40JB;WHISKY;MONTELLO;PELLE
40JC;40JC;MARRONE CAFFÈ;MONTELLO;PELLE
40JD;40JD;BORDEAUX;MONTELLO;PELLE
40JE;40JE;NOCE;MONTELLO;PELLE
40JF;40JF;GRIGIO FERRO;MONTELLO;PELLE
40JG;40JG;MUSCHIO;MONTELLO;PELLE
40JH;40JH;NOCCIOLA;MONTELLO;PELLE
40JI;40JI;MARR.SC CALDO;MONTELLO;PELLE
40KA;40KA;BLU SCURO;HERITAGE;PELLE
40KB;40KB;MARRONE SCU.CALDO;HERITAGE;PELLE
40KC;40KC;CUOIO SCU.MX ARAN.;HERITAGE;PELLE
40L1;40L1;BEIGE SCU.MX ROSA;SIENA;PELLE
40L2;40L2;MARRONE;SIENA;PELLE
40L3;40L3;CUOIO C.MX ARANCIO;SIENA;PELLE
40L4;40L4;CUOIO C.M.CAMMELLO;SIENA;PELLE
40L5;40L5;MARRONE MX RAME;SIENA;PELLE
5001;5001;CUOIO;BOSS;PELLE
5002;5002;TERRACOTTA;BOSS;PELLE
5003;5003;MARRONE;BOSS;PELLE
5004;5004;CAFFÈ;BOSS;PELLE
5005;5005;VERDE OLIVA;BOSS;PELLE
5006;5006;NERO;BOSS;PELLE
5008;5008;CARBONE;ELMO;PELLE
5020;5020;VERDE;NA;PELLE
5021;5021;BLU;NA;PELLE
5027;5027;CAMMELLO;ELMO;PELLE
5029;5029;BEIGE;ELMO;PELLE
5030;5030;ROSSO;ELMO;PELLE
5036;5036;NERO;ELMO;PELLE
5037;5037;VERDE;ELMO;PELLE
5038;5038;BLU;ELMO;PELLE
5047;5047;FUNGO;ELMO;PELLE
5048;5048;CAFFÈ;ELMO;PELLE
5049;5049;TERRA;ELMO;PELLE
5069;5069;MARRONE;ELMO;PELLE
50AA;50AA;GIALLO ORO;ELMO;PELLE
50AB;50AB;ARANC.C.;ELMO;PELLE
50BA;50BA;NATURAL IK;SEGLORA;PELLE
50BB;50BB;MARR SC FREDD IK;SEGLORA;PELLE
5500;5500;CUOIO;LUXURY;PELLE
5501;5501;MARRONE SCURO1;LUXURY;PELLE
55AA;55AA;BORDEAUX;LUXURY;PELLE
55AB;55AB;MARRONE SCURO;LUXURY;PELLE
55BA;55BA;BEIGE;KASHMIR;PELLE
55BB;55BB;CIPRIA;KASHMIR;PELLE
55BC;55BC;MIELE;KASHMIR;PELLE
55BD;55BD;MARRONE SCURO;KASHMIR;PELLE
55BE;55BE;TORTORA;KASHMIR;PELLE
55CB;55CB;MARRONE SCURO;DUCALE;PELLE
55CF;55CF;NERO;DUCALE;PELLE
55CG;55CG;VIOLA;DUCALE;PELLE
55DA;55DA;NEVE;ALEXANDER;PELLE
55DB;55DB;GIRASOLE;ALEXANDER;PELLE
55DC;55DC;CARRUBA;ALEXANDER;PELLE
55DD;55DD;CAMELIA;ALEXANDER;PELLE
55EA;55EA;TORTORA;NUBUK;PELLE
55EB;55EB;NERO;NUBUK;PELLE
55EC;55EC;T.DI MORO;NUBUK;PELLE
55ED;55ED;VISONE;NUBUK;PELLE
55FA;55FA;BEIGE CH.MX GIALLA;SALENTO;PELLE
55FB;55FB;MARRONE;SALENTO;PELLE
6001;6001;VERDE;SHINY;PELLE
6002;6002;MARRONE;SHINY;PELLE
6003;6003;TORTORA;SHINY;PELLE
6004;6004;NERO;SHINY;PELLE
60AA;60AA;PEZZATO;NAVAJO;PELLE
60AB;60AB;BEIGE ORO;NAVAJO;PELLE
60AC;60AC;BORDEAUX;NAVAJO;PELLE
60AD;60AD;TESTA DI MORO;NAVAJO;PELLE
60AE;60AE;NERO;NAVAJO;PELLE
60AF;60AF;ORO;NAVAJO;PELLE
60AG;60AG;CIOCCOLATO;NAVAJO;PELLE
60AH;60AH;VERDE AVOCADO;NAVAJO;PELLE
60BA;60BA;TORTORA;DANDY CROCO;PELLE
60BB;60BB;MARRONE;DANDY CROCO;PELLE
60BC;60BC;COGNAC;DANDY CROCO;PELLE
60DA;60DA;MARRONE SC. CALDO;CASSIDY;PELLE
60DB;60DB;NERO;CASSIDY;PELLE
60DC;60DC;CACAO;CASSIDY;PELLE
60DD;60DD;BIANCO;CASSIDY;PELLE
60DE;60DE;GREIGE C.MX GRIGIA;CASSIDY;PELLE
60DF;60DF;GRIGIO;CASSIDY;PELLE
60DG;60DG;BIANCO;CASSIDY;PELLE
60DH;60DH;MARRONE MX RAME;CASSIDY;PELLE
60DI;60DI;BEIGE SCU.MX ROSA;CASSIDY;PELLE
60DL;60DL;BORDEAUX;CASSIDY;PELLE
60DM;60DM;CUOIO C.M.CAMMELLO;CASSIDY;PELLE
60EA;60EA;GRIGIO MEDIO;SAHARA;PELLE
60EB;60EB;GREIGE CH.MX ROSA;SAHARA;PELLE
60EC;60EC;BLU SCURO;SAHARA;PELLE
60ED;60ED;MARRONE SC. FREDDO;SAHARA;PELLE
60EE;60EE;ANTRACITE;SAHARA;PELLE
60EF;60EF;ARANCIO MX MATTONE;SAHARA;PELLE
60EG;60EG;BEIGE CH.MX GIALLA;SAHARA;PELLE
68001101;68001101;SABBIA;ITALRENO;MICROFIBRA
68001102;68001102;TORTORA;ITALRENO;MICROFIBRA
68001103;68001103;BLU;ITALRENO;MICROFIBRA
68001104;68001104;CAMOSCIO;ITALRENO;MICROFIBRA
68001105;68001105;GIALLO;ITALRENO;MICROFIBRA
68001108;68001108;MELANZANA;ITALRENO;MICROFIBRA
68001109;68001109;TABACCO;ITALRENO;MICROFIBRA
68001113;68001113;FUNGO;ITALRENO;MICROFIBRA
68001114;68001114;VERDE OLIVA;ITALRENO;MICROFIBRA
68001115;68001115;ROSSO MATTONE;ITALRENO;MICROFIBRA
68001116;68001116;ROSSO BRILLANTE;ITALRENO;MICROFIBRA
68001117;68001117;RUGGINE;ITALRENO;MICROFIBRA
68001118;68001118;CUOIO;ITALRENO;MICROFIBRA
68001119;68001119;AVORIO;ITALRENO;MICROFIBRA
68001120;68001120;NERO;ITALRENO;MICROFIBRA
68001121;68001121;TORTORA SCURO;ITALRENO;MICROFIBRA
68001201;68001201;SABBIA;CAPRI;MICROFIBRA
68001202;68001202;TORTORA;CAPRI;MICROFIBRA
68001203;68001203;VERDE SALVIA;CAPRI;MICROFIBRA
68001204;68001204;CAMOSCIO;CAPRI;MICROFIBRA
68001205;68001205;ROSSO MATTONE;CAPRI;MICROFIBRA
68001206;68001206;VERDE MUSCHIO;CAPRI;MICROFIBRA
