Codice1;Codice2;Colore;Collezione;Materiale
103G;103G;TABACCO;SCOTTSDALE BUFFALO;PELLE
103H;103H;BORDO';SCOTTSDALE BUFFALO;PELLE
103I;103I;VERDE BOSCO;SCOTTSDALE BUFFALO;PELLE
103L;103L;GRIGIO MEDIO;SCOTTSDALE BUFFALO;PELLE
1041;1041;VERDE;DAYTONA;PELLE
1042;1042;BORDEAUX;PRINCE;PELLE
1043;1043;VERDE CHIARO;SAVANA;PELLE
1043;1043;VERDE CHIARO1;SAVANA;PELLE
1044;1044;BLU;DAYTONA;PELLE
1045;1045;ROCCIA;DAYTONA;PELLE
1046;1046;BORDEAUX;DAYTONA;PELLE
1047;1047;ROCCIA;SAVANA;PELLE
1048;1048;AVORIO;DAYTONA;PELLE
104A;104A;CUOIO CH.MX GIALLA;SCOTTSDALE BUFFALO MATT;PELLE
104A;104A;BIANCO OTTICO;TAMIGI;PELLE
104A;104A;FC_WHITE;TAMIGI;PELLE
104B;104B;BIANCO AVORIO;TAMIGI;PELLE
104B;104B;FC_WHITE;TAMIGI;PELLE
104C;104C;ANTRACITE;TAMIGI;PELLE
104C;104C;FC_GREY;TAMIGI;PELLE
104D;104D;ROSSO POM;KANT;PELLE
104D;104D;FC_GREY;TAMIGI;PELLE
104D;104D;ROSSO POM;TAMIGI;PELLE
104E;104E;FC_BLACK;TAMIGI;PELLE
104E;104E;NERO;TAMIGI;PELLE
104F;104F;FC_RED;TAMIGI;PELLE
104F;104F;ROSSO CORALLO;TAMIGI;PELLE
104G;104G;GRIGIO CHIARO;TAMIGI;PELLE
104H;104H;GIRASOLE;TAMIGI;PELLE
104I;104I;MARRONE SCURO;TAMIGI;PELLE
104L;104L;GESSO;TAMIGI;PELLE
104M;104M;GIALLO CEDRO;TAMIGI;PELLE
104N;104N;BEIGE;TAMIGI;PELLE
1050;1050;AZZURRO;SAVANA;PELLE
1051;1051;VERDE;PRINCE;PELLE
1052;1052;NERO;SAVANA;PELLE
1053;1053;GRIGIO ACCIAIO;SAVANA;PELLE
1054;1054;TERRACOTTA;SAVANA;PELLE
1054;1054;TERRACOTTA IK;SAVANA;PELLE
1057;1057;GRIGIO;SAVANA;PELLE
1059;1059;GHIACCIO;SAVANA;PELLE
105A;105A;FC_BROWN;BATON ROUGE;PELLE
1060;1060;TORTORA;TEVERE;PELLE
1060;1060;TORTORA IK;TEVERE;PELLE
1061;1061;NERO;TEVERE;PELLE
1061;1061;NERO IK;TEVERE;PELLE
1062;1062;BLU;TEVERE;PELLE
1062;1062;BLU 2;TEVERE;PELLE
1063;1063;NOCE;TEVERE;PELLE
1064;1064;NAVY/BLU SCURO;PRINCE;PELLE
1065;1065;BEIGE;IMOLA;PELLE
1065;1065;BEIGE 2;IMOLA;PELLE
1066;1066;PALOMINO;IMOLA;PELLE
1066;1066;PALOMINO1;IMOLA;PELLE
1067;1067;ROSSO;DAYTONA;PELLE
1069;1069;MARRONE SCURO;ARNO;PELLE
106A;106A;CIOCCOLATO1;SCOTTSDALE;PELLE
106B;106B;TORTORA SCURO3;SCOTTSDALE;PELLE
106C;106C;MARRONE TERRA1;SCOTTSDALE;PELLE
106D;106D;ROSSO;SCOTTSDALE;PELLE
106E;106E;BLUE NAVY;SCOTTSDALE;PELLE
1070;1070;BLU;PRINCE;PELLE
1071;1071;BLU PERIWINKLE;PRINCE;PELLE
1072;1072;ACQUA MARINA;PRINCE;PELLE
1076;1076;GIALLO;TEVERE;PELLE
1076;1076;GIALLO 2;TEVERE;PELLE
1078;1078;NOCE;PRINCE;PELLE
107A;107A;CASTAGNA;BOISE;PELLE
107B;107B;MARRONE SCURO;BOISE;PELLE
107C;107C;BORDEAUX;BOISE;PELLE
1080;1080;VERDE CHIARO;TEVERE;PELLE
1081;1081;VERDE SCURO;PRINCE;PELLE
1083;1083;BEIGE;PRINCE;PELLE
1085;1085;GIALLO;TEVERE;PELLE
1085;1085;GIALLO 3;TEVERE;PELLE
1087;1087;GRIGIO;PRINCE;PELLE
1089;1089;VERDE SALVIA;TEVERE;PELLE
108A;108A;MARRONE SCURO;THAMES;PELLE
108A;108A;MARRONE;WINCHESTER;PELLE
108B;108B;NERO (NEW);THAMES;PELLE
108B;108B;CAMOSCIO;WINCHESTER;PELLE
108C;108C;ANTRACITE;WINCHESTER;PELLE
1090;1090;ROSSO;PRINCE;PELLE
1091;1091;PANNA;TEVERE;PELLE
1091;1091;PANNA IK;TEVERE;PELLE
1092;1092;VERDE;IMOLA;PELLE
1093;1093;BEIGE;SAVANA;PELLE
1095;1095;CARAMELLO;SAVANA;PELLE
1096;1096;MARRONE SCURO;SCULPTURE;PELLE
1097;1097;BLU;TEVERE;PELLE
1097;1097;BLU 3;TEVERE;PELLE
1097;1097;FC_BLUE;TEVERE;PELLE
1098;1098;BORDEAUX;TEVERE;PELLE
1099;1099;BIANCO AURORA;TEVERE;PELLE
1099;1099;BIANCO AURORA IK;TEVERE;PELLE
109A;109A;BEIGE ROSATO;BUFALO;PELLE
109A;109A;COGNAC;PREMIUM;PELLE
10A1;10A1;MEDIUM BROWN;MIAMI;PELLE
10A2;10A2;CREAM;MIAMI;PELLE
10A3;10A3;TAUPE;MIAMI;PELLE
10A4;10A4;DARK GREY;MIAMI;PELLE
10AA;10AA;BEIGE;ARNO;PELLE
10AA;10AA;FC_BEIGE;ARNO;PELLE
10AB;10AB;FC_TAUPE;ARNO;PELLE
10AB;10AB;TORTORA;ARNO;PELLE
10AC;10AC;FC_BURGUNDY;ARNO;PELLE
10AC;10AC;SANGUE DI BUE;ARNO;PELLE
10AD;10AD;FC_BROWN;ARNO;PELLE
10AD;10AD;NOCE DI COCCO;ARNO;PELLE
10AE;10AE;CASTAGNA;ARNO;PELLE
10AE;10AE;FC_BROWN;ARNO;PELLE
10AF;10AF;GREIGE CH.;URBAN;PELLE
10AG;10AG;VERDE BOSCO;URBAN;PELLE
10AH;10AH;CUOIO CH.MX CAMMEL;URBAN;PELLE
10AI;10AI;GRIGIO SCU.FREDDO;URBAN;PELLE
10AL;10AL;CREMA;URBAN;PELLE
10AM;10AM;APPLE BARK;URBAN;PELLE
10AN;10AN;MARRONE SCURO;URBAN;PELLE
10AP;10AP;BIANCO;URBAN;PELLE
10B1;10B1;BLU;DENVER;PELLE
10B2;10B2;BEIGE CH.MX GIALLA;DENVER;PELLE
10B3;10B3;CUOIO CH.MX GIALLA;DENVER;PELLE
10B4;10B4;CELESTE MX GRIGIA;DENVER;PELLE
10B5;10B5;BIANCO CALDO;DENVER;PELLE
10BA;10BA;CELESTE;PRINCE;PELLE
10BA;10BA;FC_BLUE;PRINCE;PELLE
10BB;10BB;FC_YELLOW;PRINCE;PELLE
10BB;10BB;GIALLO CHIARO;PRINCE;PELLE
10BC;10BC;TORTORA;PRINCE;PELLE
10BD;10BD;PORPORA;PRINCE;PELLE
10BE;10BE;BLU SCURO;PRINCE;PELLE
10BF;10BF;BEIGE CH. MX ROSA;DENVER;PELLE
10BG;10BG;BEIGE;DENVER;PELLE
10BH;10BH;TESTA DI MORO;DENVER;PELLE
10BI;10BI;GRIGIO SC. FREDDO;DENVER;PELLE
10BJ;10BJ;CUO.CH.MX GIAL.;DENVER;PELLE
10BK;10BK;GRIGIO SCURO;DENVER;PELLE
10BL;10BL;BIANCO FREDDO;DENVER;PELLE
10BM;10BM;ROSSO.;DENVER;PELLE
10BN;10BN;TERRACOTTA;DENVER;PELLE
10BP;10BP;MELANZANA;DENVER;PELLE
10BQ;10BQ;LILLA;DENVER;PELLE
10BR;10BR;ROSSO;DENVER;PELLE
10BS;10BS;GREIGE CHIARO;DENVER;PELLE
10BT;10BT;TAUPE CALDO;DENVER;PELLE
10BU;10BU;NERO;DENVER;PELLE
10BV;10BV;MARRONE SC.LUC.;DENVER;PELLE
10BW;10BW;ROSSO POMPEIANO;DENVER;PELLE
10BX;10BX;GIALLO;DENVER;PELLE
10BY;10BY;BIANCO OTTICO;DENVER;PELLE
10BZ;10BZ;GRIGIO CH. FREDDO;DENVER;PELLE
10CA;10CA;FC_BROWN;ELSA;PELLE
10CA;10CA;MARRONE SCURO;ELSA;PELLE
10CB;10CB;FC_BEIGE;ELSA;PELLE
10CB;10CB;LEGNO GREZZO;ELSA;PELLE
10CC;10CC;CASTAGNA;GRAND PRIX;PELLE
10CF;10CF;CASTAGNA;COLORADO 2;PELLE
10CG;10CG;MARRONE;COLORADO 2;PELLE
10CH;10CH;MARRONE SCURO;COLORADO 2;PELLE
